title,link,schedule,location_name,address,tag,description
,,,,,,
Heather Pierson Duo show on March 14th at Sunnyhill Live!,https://www.pghcitypaper.com/pittsburgh/heather-pierson-duo-show-on-march-14th-at-sunnyhill-live/Event?oid=27600200,"Fri., March 14, 7:30-9:30 p.m.",Sunnyhill Unitarian Universalist Church,"1240 Washington Rd., Pittsburgh
Mt. Lebanon",Blues,"Heather Pierson is a singer/songwriter and performer with a passion for cultivating joy, both onstage and off. Her sixteenth studio album, Back To The Light, pulsates throughout with the grooves of New Orleans, the beauty of Appalachia, and Sunday- go-to-meeting celebration. Best known for her ease at the piano and her bell-tone voice that Americana Highways says ‘sounds like timeless wind moving slowly through the trees’, Heather’s live performances with her bassist/partner Shawn Nadeau take listeners’ ears and hearts on an uplifting journey with their conversational style of musicianship, speaking the language of music with ease and wit. (412) 561-6277"
Steel Mill Rising,https://www.pghcitypaper.com/pittsburgh/steel-mill-rising/Event?oid=27539404,"Fri., March 14, 8-11 p.m.",Moondog's,"378 Freeport Road, Blawnox
Blawnox",Rock,Steel Mill Rising 412-828-2040
Texture Contemporary Ballet presents Sound in Motion,https://www.pghcitypaper.com/pittsburgh/texture-contemporary-ballet-presents-sound-in-motion/Event?oid=27447573,"Fri., March 14, 8 p.m., Sat., March 15, 8 p.m. and Sun., March 16, 2 p.m.",New Hazlett Theater,"6 Allegheny Square E, Pittsburgh
North Side",Dance,"Texture Contemporary Ballet's 14th season culminates in Sound in Motion, a captivating exploration of the interplay between movement and music. Prepare for a live-music collaboration that ignites the stage as Artistic Director Alan Obuzor joins forces with Pittsburgh-based musician, D.o.B., fusing edgy R&B music with the power and artistry of Texture's dancers. Resident dancer Madeline Kendall Schreiber uses rich instrumentals to invite you on a journey through the world's diverse ecosystems in her new work, and rounding out the program is a beautiful piece set to J.S. Bach's Concerto No. 1 in D Minor. 412-320-4610"
SamJAMwich,https://www.pghcitypaper.com/pittsburgh/samjamwich/Event?oid=27533780,"Fri., March 14, 8 p.m.",The Funhouse @ Mr. Smalls,"400 Lincoln Ave, Millvale
Millvale",Rock,Mr. Smalls Presents SamJAMwich Doors: 7:00 pm / Show: 8:00 pm This Event Is All Ages 6034337465
The Clarks-TWO DATES!,https://www.pghcitypaper.com/pittsburgh/the-clarks-two-dates/Event?oid=27209554,"Fri., March 14, 8-10:30 p.m.",The Lamp Theatre,"222 Main Street, Irwin
North Huntingdon",Rock,"ON SALE NOW! The Clarks return to The Lamp Theatre, Irwin for TWO SHOWS! Get your tickets NOW at https://www.lamptheatre.org/the-clarks or by calling 724-367-4000. Fri. Mar.14th & Sat. Mar. 15th, 8pm $25 Early on, The Clarks were once described as a bunch of out of tune country hicks. The band took irreverent offense to the comments, saying they were never country hicks. Eleven studio albums and a couple of guitar tuners later, The Clarks have struck again with Madly In Love At The End Of The World, a lively ride down a rural lane, laced with love, mourning, and questions 724-367-4000"
The Latchkey Kids,https://www.pghcitypaper.com/pittsburgh/the-latchkey-kids/Event?oid=27265975,"Fri., March 14, 9-10:30 p.m. and Fri., May 9, 9-10:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"We're home alone, so come over for a variety show featuring improv, live music, stand-up comedy, and vintage videos from those wonderfully horrible 90s. And 80s. And maybe like some early 2000s. But nothing after 2002. We do have integrity. Join us and special guests as we celebrate the media that made us who we are (for better or worse)! The Latchkey Kids were voted one of the Best Comedy Troupes of 2021 by the readers of Pittsburgh City Paper. Our parents are very proud, but they do wish we wouldn't curse so much. (412) 339-0608"
,,,,,,
Caffeinate Your Company,https://www.pghcitypaper.com/pittsburgh/caffeinate-your-company/Event?oid=20316910,"Second Friday of every month, 8:30-9 a.m.",,,Meeting,Hey Small Business Owners! Entrepreneurship is hard. Don’t do it alone. Join Entrepreneurs Forever on the second Friday of every month at 8:30am on Zoom for a taste of our free peer group program for established small business owners. Stick around from 9:00-9:30am for some caffeine-fueled networking and Q&A. Connect with Blair Mundy at bmundy@e4ever.org to learn more.
African Dance Class,https://www.pghcitypaper.com/pittsburgh/african-dance-class/Event?oid=1720232,Second and Third Friday of every month and Fourth and Last Friday of every month,Irma Freeman Center for Imagination,"5006 Penn Ave., Pittsburgh
Garfield",Other Stuff,412-924-0634
Open Mic Coffee House - Valentine Special,https://www.pghcitypaper.com/pittsburgh/open-mic-coffee-house-valentine-special/Event?oid=16662172,"Second Friday of every month, 7:30-9 p.m.",South Side Presbyterian Church,"1926 Sarah St., Pittsburgh
South Side",Open Stage,"The Open Mic Coffee House ""Valentine Special"" at 7:30 to 9 p.m. welcomes folks to share songs or a poem, dramatic piece, dance, comedy, or whatever. Please call 412-431-0118 or email at kathysspc@aol.com if you would like to share something on stage. Or just come to enjoy others' performances as well as gathering with old and new friends. Suggested donation of $5 includes candlelight conversation, the performances, and refreshments. The Church is at the corner of S. 20th and Sarah, and is fully handicap accessible. 4124310118"
Open Mic Coffee House,https://www.pghcitypaper.com/pittsburgh/open-mic-coffee-house/Event?oid=16104571,"Second Friday of every month, 7:30-9 p.m.",South Side Presbyterian Church,"1926 Sarah St., Pittsburgh
South Side",Special,"On Friday, November 8, the South Side Presbyterian Church welcomes all to its monthly Open Mic Coffee House at 7:30 to 9 p.m. Do you have songs or a poem, a dramatic piece, dance, or comedy that you would like to share? Please call 412-431-0118 or email at kathysspc@aol.com if you would like to share something on stage. Or just come to enjoy others' performances as well as the friendly fellowship with old and new friends. The suggested donation of $5 includes candlelight conversation, the performances, and refreshments. The Church is at the corner of S. 20th and Sarah Streets 4124310118"
Peanut Butter & Jam Sessions -The Adventures of Vi & Len with Julie Andrijeski,https://www.pghcitypaper.com/pittsburgh/peanut-butter-and-jam-sessions-the-adventures-of-vi-and-len-with-julie-andrijeski/Event?oid=26204304,"Sat., March 15, 10-10:45 a.m.",Calvary Episcopal Church,"315 Shady Avenue, Pittsburgh
Shadyside",Classical,"Chatham Baroque’s Peanut Butter & Jam Sessions are informal concerts designed specifically for preschoolers and their accompanying grownups. Extending through 2025, the series of sessions will be held at multiple locations and serves as musical adventure for children that are lively, educational - and fun! (412) 687-1788"
St. Patrick's Parade Day Party at Crafthouse Stage & Grill,https://www.pghcitypaper.com/pittsburgh/st-patricks-parade-day-party-at-crafthouse-stage-and-grill/Event?oid=27470055,"Sat., March 15, 11 a.m.",Crafthouse Stage & Grill,"5024 Curry Road, Pittsburgh
Overbrook",Holiday Music,"St. Patrick's Day is our favorite holiday of the year at the Crafthouse, and we want you there to celebrate with us! Doors open at 10:30AM Andy O'Brian 11:00am-1:00pm The Irish Brigadiers 1-3pm Matt Tichon 4-7pm Lucky Me 8pm-Mid There is a $12 cover charge 12:30-7pm NO COVER after 7pm! PLUS, a FREE breakfast buffet from 10:30-11:30a! Reservations can be made and must be seated by 2p. After that, tables will be seated on a first come, first served basis. Call 412.653.2695 for reservations. Minors under 21 with parent/guardian until 8p. After 8p, guests must be 21+ 412-653-2695"
,,,,,,
Peanut Butter & Jam Sessions -The Adventures of Vi & Len with Julie Andrijeski,https://www.pghcitypaper.com/pittsburgh/peanut-butter-and-jam-sessions-the-adventures-of-vi-and-len-with-julie-andrijeski/Event?oid=26204306,"Sat., March 15, 11:15 a.m.-12 p.m.",Calvary Episcopal Church,"315 Shady Avenue, Pittsburgh
Shadyside",Classical,"Chatham Baroque’s Peanut Butter & Jam Sessions are informal concerts designed specifically for preschoolers and their accompanying grownups. Extending through 2025, the series of sessions will be held at multiple locations and serves as musical adventure for children that are lively, educational - and fun! (412) 687-1788"
SLIM'S IRISH BAND! ST. PATRICK'S PARADE DAY GALA at the SPIRIT LODGE,https://www.pghcitypaper.com/pittsburgh/slims-irish-band-st-patricks-parade-day-gala-at-the-spirit-lodge/Event?oid=27458621,"Sat., March 15, 12-5 p.m.",Spirit,"242 51st Street, Pittsburgh
Lawrenceville",World,"Slim's Irish Band plays the Spirit Lodge for our annual Saint Patrick's Parade Gala! $10 at the door on day of show. FREE Irish Food Buffet courtesy of Iron City Beer EVERYONE WELCOME! Candy Mountain, bass; Steve Sciulli, whislte/flute; Dennis Childers, drums/bodhran; Dan Macel, accordion; Gene Gelblum, fiddle/mandolin; Slim Forsythe, acoustic guitar Special guest: Ryan Taylor 412-770-8150"
Pittsburgh St Patrick's Day Bar Crawl,https://www.pghcitypaper.com/pittsburgh/pittsburgh-st-patricks-day-bar-crawl/Event?oid=27419019,"Sat., March 15, 1-8 p.m.",Mario's South Side Saloon,"1514 E. Carson St., Pittsburgh
South Side",Food & Drink Event,"Whether you're Irish or simply love a good party, our St. Patrick's Day Bar Crawl is the perfect way to kick off the holiday. Experience the best venues, festive vibes, and incredible drink deals alongside hundreds of other party-goers dressed in their greenest gear! What's Included with Your Pittsburgh St. Patrick's Day Bar Crawl? JOIN THE BEST ST. PATRICK'S DAY PUB CRAWL OF THE YEAR 2-3 DRINKS OR SHOTS INCLUDED FREE ENTRY AT ALL BARS, MID PARTY, and AFTER PARTY GREEN SHOT GLASS NECKLACES (WHILE SUPPLIES LAST) EXCLUSIVE DRINK SPECIALS HOLIDAY THEMED DRINK SPECIALS FOOD SPECIALS AT SELECT VENUES 412-381-5610"
"Kiss Me, I'm Irish: Pittsburgh St. Patrick's Day Bar Crawl (2 Days)",https://www.pghcitypaper.com/pittsburgh/kiss-me-im-irish-pittsburgh-st-patricks-day-bar-crawl-2-days/Event?oid=27474752,"Sat., March 15, 2-11:59 p.m. & 12-2 a.m. and Mon., March 17, 6-11:59 p.m. & 12-2 a.m.",Jimmy D's,"1707 E. Carson St., Pittsburgh
South Side",Holiday,"Barcrawlerz is a Pittsburgh Bar Crawl like no other. Kiss Me, I’m Irish features The Best Drink Specials and The Best Bars in Town. PARTICIPATING BARS: JIMMY D'S [REGISTRATION] CAPO'S ENCLAVE FINN MCCOOLS THE URBAN TAP + MORE TBA This is a TWO DAY EVENT! 🍀 Saturday, March 15th: 2PM-2AM (Registration 2PM-8PM) 🍀 Monday, March 17th: 6PM-2AM (Registration 6PM-11PM) Here is how it works: 1) Pre-Purchase Your Bar Crawl Wristband. 2) Check in at Jimmy D's (1707 E Carson St) to get your wristband and map with participating bars, their location, and their drink specials. 310-273-8772"
St. Patrick's Day Bar Crawl (South Side),https://www.pghcitypaper.com/pittsburgh/st-patricks-day-bar-crawl-south-side/Event?oid=27578430,"Sat., March 15, 3-11 p.m. and Mon., March 17, 5-11:45 p.m.",Twelve Whiskey Barbecue,"1222 East Carson Street, Pittsburgh
Allentown",Community,"Happy St. Patrick's Day in Pittsburgh - It's time to get lucky! Our St.Patrick's Day Crawls are always the best party in town. Discover new places, meet new friends! 🎟️ ONE ticket gets you access to South Side with 5+ participating bars. Enjoy complimentary welcome shots, lucky shamrock surprises, festive drink specials, dance to lively Irish tunes, and compete in our best-dressed contest for a chance to win fun prizes. Don’t miss out on the St. Patrick’s Day party of the year! 🚨 Gather your crew and SAVE 20% on group ticket purchases of 4 or more! ____ CHECK-IN LOCATION 813-895-1109"
THE Brian James O'Connell Workshops,https://www.pghcitypaper.com/pittsburgh/the-brian-james-oconnell-workshops/Event?oid=27533991,"Sat., March 15, 3-5:30 p.m. and Sun., March 16, 10 a.m.-1 p.m. & 2:30-5:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Brian James O'Connell--a working actor, writer, director, filmmaker and teacher in Los Angeles--is coming to Arcade Comedy Theater with THREE exciting & insightful workshops for actors and improvisers. Choose from three options: Directing Improv, The Ladder, The Improvised Movie, or bundle and save to learn all weekend. Have a blast and sharpen your saw with Brian James O'Connell! For more details, visit our website : https://www.arcadecomedytheater.com/classes/workshops/ Happens on the following Dates: Mar 15, 2025, 3:00pm to 5:30pm Timezone: EDT Mar 16, 2025, 10:00am to 1:00pm Timezone: EDT Mar 16, 2025, 2:30pm to 5:30pm Timezone: EDT (412) 339-0608"
United in Purpose: A Celebration of Women’s History Month,https://www.pghcitypaper.com/pittsburgh/united-in-purpose-a-celebration-of-womens-history-month/Event?oid=27569788,"Sat., March 15, 3-4:30 p.m.",Pentecostal Temple Church,"6300 East Liberty Boulevard, Pittsburgh
Larimer",World,"Belle Voci, the Heritage Gospel Chorale of Pittsburgh, and the University of Pittsburgh Pantherhythms will join together on Saturday, March 15th at 3:00 P.M. at the Pentecostal Temple Church. “United in Purpose: A Celebration of Women’s History Month Featuring the Music and Lyrics of African American Women,” showcases a collection of music and lyrics from prominent African American Women in the Arts including Rosephanye Powell, Undine S. Moore, Lena McLin and Diane L. White. The concert is free and open to the public. 7249873688"
Children's Performance of Sound in Motion presented by Texture Contemporary Ballet,https://www.pghcitypaper.com/pittsburgh/childrens-performance-of-sound-in-motion-presented-by-texture-contemporary-ballet/Event?oid=27447794,"Sat., March 15, 4 p.m.",New Hazlett Theater,"6 Allegheny Square E, Pittsburgh
North Side",Kidstuff,"Texture Contemporary Ballet's Children's Performance of “Sound in Motion” consists of excerpts from the mainstage production, plus a fun, interactive portion on stage with the dancers! The event is designed for children ages 10 and under, however all ages are welcome. It is a great opportunity to introduce children to dance as a performing art, enjoy a theater experience, and even learn a dance step or two! The activities that we present the children with focus on fundamentals of coordination, imagination, musicality, listening, following instructions, and working together. A family ticket includes up to 5 people! 412-320-4610"
St Paddy's Post Parade Party w/Jimb O'Jackson!,https://www.pghcitypaper.com/pittsburgh/st-paddys-post-parade-party-w-jimb-ojackson/Event?oid=27497597,"Sat., March 15, 4-7 p.m.",Kingfly Spirits,"2613 Smallman St., Pittsburgh
Strip District",Other Music,"Join us at Kingfly Spirits after the St. Paddy’s Day Parade for themed drinks, outside grilling (if weather permits) and a one-of-a-kind performance featuring our favorite “3% Irish” man, Jimb O’Jackson and guitarist Jason Caliguri!! This singer/songwriter was the longtime frontman and founder of Pittsburgh’s award-winning band “Jimbo and the Soupbones”. Jimbo has a larger-than-life, soulful voice and his charm is infectious. Jimbo will be joined by his longtime musical brother and guitarist Jason Caliguri. Jason is an accomplished and award-winning guitarist with touch, feel, tone and energy to match anything that the performance needs."
The Official Lucky's St Patrick's Day Bar Crawl - Pittsburgh,https://www.pghcitypaper.com/pittsburgh/the-official-luckys-st-patricks-day-bar-crawl-pittsburgh/Event?oid=27328673,"Sat., March 15, 4-11:45 p.m.",Mario's South Side Saloon,"1514 E. Carson St., Pittsburgh
South Side",Festivals,"🍀 Get Lucky With Us This St. Paddy’s Day! 🍀 Bring your crew, wear your green and get ready for a day full of green drinks, shamrocks, and epic bar-hopping fun— let's make this St. Patrick’s Day unforgettable! 🍻 Click ✅ GOING ✅ On The Facebook Event ⬇️ So You Don't Miss Updates https://www.facebook.com/events/3857673604453398 Here's What You Get: 🌈 Join The Luckiest Crawl of the Year 🍹 2-3 Drinks Or Shots Included 🚫 No Cover At All Bars, Mid Party, & After Party 🥤 Crawl With US Stadium Party Cup and Bottle Opener Lanyard 💚💛 Green & Gold Beads 612-460-0094"
Pittsburgh's Best St. Patrick's Day Weekend Bar Crawl,https://www.pghcitypaper.com/pittsburgh/pittsburghs-best-st-patricks-day-weekend-bar-crawl/Event?oid=27215834,"Sat., March 15, 4-10 p.m. and Sun., March 16, 4-10 p.m.",Josh D,"Pittsburgh, Pittsburgh
Oakland",Festivals,"Embark on a lively St. Patrick's Day revelry with our exclusive bar crawl extravaganza. Join fellow enthusiasts as we traverse through the lively streets, immersing ourselves in the dynamic local bar scene. The St. Paddy's Day pub crawl guarantees an evening filled with camaraderie, laughter, and exploration. Participants will have the chance to experience the best spots that “(XCITY NAMEX)” has to offer, each renowned for its unique ambiance and signature green beer delights (bars will individually have their own specials; green beer is not guaranteed). From hidden gems to iconic establishments, our guided St. Patrick's Day tour (self guided (312) 300-0476"
Improv In Development,https://www.pghcitypaper.com/pittsburgh/improv-in-development/Event?oid=27098375,"Third Saturday of every month, 6-7:30 p.m. Continues through April 19",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,Join us for an entertaining night of hilarious comedy at Improv In Development and support Pittsburgh's vibrant improv scene! (412) 339-0608
The Dinner Detective Comedy Mystery Dinner Show,https://www.pghcitypaper.com/pittsburgh/the-dinner-detective-comedy-mystery-dinner-show/Event?oid=27363620,"Sat., March 15, 6-9 p.m.",Omni William Penn,"530 William Penn Pl., Pittsburgh
Downtown",Comedy,"America’s largest interactive true crime mystery dinner theatre show is now playing in Pittsburgh! Solve a hilarious mystery while you feast on a fantastic dinner. Just beware! The culprit is hiding in plain sight somewhere in the room, and you may find yourself as a Prime Suspect before you know it! Join us for an event that is very different from a traditional mystery dinner show. Our actors are not dressed in costume and are hidden in the audience! This results in a fun, social and interactive evening suitable for all adults. Each ticket includes our signature award-winning mystery dinner 866-496-0535"
"Book Release Party for Meghan Lamb's MIRROR TRANSLATION (Blamage Books), a hybrid evening of fiction, poetry, noise performance, and visual art",https://www.pghcitypaper.com/pittsburgh/book-release-party-for-meghan-lambs-mirror-translation-blamage-books-a-hybrid-evening-of-fiction-poetry-noise-performance-and-visual-ar/Event?oid=27506576,"Sat., March 15, 7-11 p.m.",222 Ormsby,"222 Ormsby Avenue, Pittsburgh
Mt. Oliver",Literary,"On Saturday, 3/15, Blamage Books will be celebrating the release of MIRROR TRANSLATION, a literary horror collection by Meghan Lamb. This hybrid evening of fiction, poetry, noise performance, and visual art will take place at 222 Ormsby in the fair city of Pittsburgh. Readers: Meghan Lamb Robert Kloss Shannon Hozinec H. Thao Nguyen James Tadd Adcox Performers: Black Leather Jesus Deterge Violet Fistula (performing the book’s “concept album”) The event will also feature a gallery-style showing of paintings inspired by MIRROR TRANSLATION, created by Shannon Hozinec. 4125124116"
Quintessential Chatham Baroque,https://www.pghcitypaper.com/pittsburgh/quintessential-chatham-baroque/Event?oid=26093602,"Sat., March 15, 7:30-11:30 p.m.",Hicks Memorial Chapel,"616 N Highland Ave, Pittsburgh
East Liberty",Classical,"Quintessential Chatham Baroque Friday-Sunday, March 14-16, 2025 -Friday, March 14, 2025, 7:30 p.m., Teutonia Männerchor -Saturday, March 15, 2025, 7:30 p.m., Hicks Memorial Chapel at Pittsburgh Theological Seminary -Sunday, March 16, 2025, 2:30 p.m., Levy Hall Since its founding, Chatham Baroque cut its teeth on the vast repertoire for two violins and continuo, developing its own distinctive sound. This program returns to their musical roots, with former ensemble member Julie Andrijeski (1996-2008) joining Andrew Fouts to share the melodic spotlight over the elegant continuo stylings of Patricia Halverson (viola da gamba), and Scott Pauley (theorbo & baroque guitar). (412) 687-1788"
WHITNEY: A Tribute Concert with Dwayne Fulton,https://www.pghcitypaper.com/pittsburgh/whitney-a-tribute-concert-with-dwayne-fulton/Event?oid=27392591,"Sat., March 15, 7:30-9:30 p.m.",Kelly Strayhorn Theater,"5941 Penn Ave., Pittsburgh
East Liberty",R&B,"Get ready for an unforgettable night as we honor the unparalleled legacy of Whitney Houston, affectionately hailed “The Voice.” With her soaring range, effortless grace, and unmatched vocal power, Whitney redefined global superstardom. Selling over 200 million records, earning 11 No. 1 singles, and winning 6 GRAMMYs, she remains one of the most iconic performers of the 20th century. Experience Whitney’s legendary catalog come to life. Led by Musical Director Dwayne Fulton, this stellar ensemble features lead vocalists Mychole Anderson, Chantal Joseph, Anqweniqu, Anita Levels, and Zuli Mason, supported by Katy Cotten, Delana Flowers, and Carmen Miller of the BGVs. 412-363-3000"
The DAPHUNK Band,https://www.pghcitypaper.com/pittsburgh/the-daphunk-band/Event?oid=27538493,"Sat., March 15, 8 p.m.",Baja Bar and Grill,"1366 Old Freeport Road, Fox Chapel
Fox Chapel",Cover Band,Great night of music and dancing with the DaPhunk Band at the Baja. See you on the dance floor! 412-963-0640
Italian Invasion 4,https://www.pghcitypaper.com/pittsburgh/italian-invasion-4/Event?oid=27539406,"Sat., March 15, 8-11 p.m.",Moondog's,"378 Freeport Road, Blawnox
Blawnox",Rock,"Italian Invasion 4 hosted by Paul Martino with the Granati Brothers, Norman Nardini, John Vento & opening acoustic set by Brian Genovesi 412-828-2040"
,,,,,,
Speakeasy,https://www.pghcitypaper.com/pittsburgh/speakeasy/Event?oid=27535828,"Sat., March 15, 8-9:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Speakeasy invites some of Pittsburgh's funniest storytellers to tell a true story while DJ Fadewell provides a real-time soundtrack. But when the story ends, we're just getting started. Host Alan Olifson (Moth, WordPlay) takes you behind the story, interviewing each storyteller to ask the burning questions you'd ask if you were sitting next to them at the bar. It's Late Night for the NPR set. This month's guests include Marylee Williams & Brian Broome. (412) 339-0608"
Dinner with the Nolens,https://www.pghcitypaper.com/pittsburgh/dinner-with-the-nolens/Event?oid=27414711,"Sat., March 15, 8-9:30 p.m. and Sat., April 19, 8-9:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Veteran improvisers Kristy and Jethro Nolen, along with their special ""Dinner"" guests, craft original scenes and invent memorable characters from your suggestions in their long-form show, Dinner with the Nolens. This married couple has performed in Chicago, Amsterdam, New Orleans, Los Angeles, Dallas, Detroit and Austin. Voted ""Best of the Burgh"" by Pittsburgh Magazine, you will not find a sharper, more seasoned pair of improvisers in town! (412) 339-0608"
UNIQUE: An Improv Show About Disabilities and Mental Health,https://www.pghcitypaper.com/pittsburgh/unique-an-improv-show-about-disabilities-and-mental-health/Event?oid=27533774,"Sat., March 15, 9-10:30 p.m.",Arcade Comedy Theater,"943 Liberty Avenue, Pittsburgh
Downtown",Comedy,"Join us for another hilarious night of anecdotes and improv provided by storytellers and performers who have two things in common: each is UNIQUE, and they all have disabilities! Featuring monologists recruited from various disability non-profit groups sharing real stories about their lives and a cast of improvisers representing a range of disabilities such as stuttering disorders, autism, PTSD, ADHD, anxiety disorders, depression, and many others! Watch this truly extraordinary troupe of improvisers with diverse disabilities come together as one cohesive unit to create scenes based on stories from people in their community that help us understand the unique challenges (412) 339-0608"
Sean Mc + Dj Thermos,https://www.pghcitypaper.com/pittsburgh/sean-mc-dj-thermos/Event?oid=7090857,First and Third Saturday of every month,Belvederes,"4016 Butler Street, Pittsburgh
Lawrenceville",DJs,90s night. 412-687-2555
A Reverence for Life,https://www.pghcitypaper.com/pittsburgh/a-reverence-for-life/Event?oid=1426494,First and Third Saturday of every month,Rachel Carson Homestead,"613 Marion Ave., Springdale
Springdale",Exhibits,Photos & artifacts of her life & work. Docent-led tours. 724-274-5459
sean mc and dj thermos,https://www.pghcitypaper.com/pittsburgh/sean-mc-and-dj-thermos/Event?oid=6299677,First and Third Saturday of every month,Belvederes,"4016 Butler Street, Pittsburgh
Lawrenceville",DJs,90s dance party. 412-687-2555
,,,,,,
Noche Latina-Third Saturday,https://www.pghcitypaper.com/pittsburgh/noche-latina-third-saturday/Event?oid=24418416,"Third Saturday of every month, 9:15 p.m.-1:30 a.m.",Los Sabrosos Dance Co.,"4909 Penn Ave., Pittsburgh
Bloomfield",Dance,"Dance the night away to Salsa, Bachata, Zouk, Kizomba, & more! Every First and Third Saturday of the Month! 9:15pm – Mini-Lesson 9:30pm – 1:00am DANCING! Mini-Lesson + Social: $15 Only Social: $10 4909 Penn Ave Pittsburgh, PA 15224 At the juncture of Lawrenceville, Garfield, & Friendship neighborhoods! On the same side as UPMC Children’s Hospital. Free parking on the street (Penn Ave) and all the neighborhood streets. BYOA, alcohol only. Los Sabrosos Dance Co. has a cash bar with non-alcoholic beverages on the premises. Free water and cups available. 4124650290"
Push It!,https://www.pghcitypaper.com/pittsburgh/push-it/Event?oid=1445705,"Third Saturday of every month, 10 p.m.",Remedy,"5121 Butler St., Pittsburgh
Lawrenceville",DJs,"DJ Huck Finn, DJ Kelly Fasterchild. 412-781-6771"
Da Kave presents Sanctuary Saturdays,https://www.pghcitypaper.com/pittsburgh/da-kave-presents-sanctuary-saturdays/Event?oid=14881710,"Every other Saturday, 6-11 p.m.",Da Kave,"1502 Lincoln Avenue, Pittsburgh
Lincoln-Lemington",Open Stage,"Bringing that fly, soulful, live open mic vibe to the Lincoln-Lemington area beginning this Saturday, May 4, 2019! It's Da Kave presents Sanctuary Saturdays, hosted by Spoken Word Artist/Actor, Leslie Ezra Smith, an open mic love experience going on every other Saturday, doors opening at 6pm, $10, BYOB! Click the link for more information! Looking for comedians, poets, spoken word artists, singers, rappers, authors, musicians, dancers, community leaders, and entrepreneurs! Doors open and open mic opens at 6pm, open mic begins at 7pm sharp. 412-939-7816"
Drop-In Improv Workshops - Beginner,https://www.pghcitypaper.com/pittsburgh/drop-in-improv-workshops-beginner/Event?oid=26017423,"Every other Saturday, 6-7 p.m.",BGC Community Activity Center,"113 N. Pacific Ave., Pittsburgh
Garfield",Comedy,"New to improv? Always wanted to try it? Want to try something new or meet new people? Then this is the workshop for you! Our bi-weekly drop-in workshop is a perfect way to start your improv journey in a low-risk, high reward and super supportive environment! Every other Saturday evening, this one-hour workshop will give you an opportunity to play improv games, learn and work on new skills, meet new people, and rediscover play! This workshop is led by an experienced teacher from 412Improv. It’s a great way to sample one of our beginner improv classes. Improvisers at ANY level 412-441-6950"
Traditional Bluegrass Jam,https://www.pghcitypaper.com/pittsburgh/traditional-bluegrass-jam/Event?oid=27291307,"Sun., March 16, 1-3 p.m., Sun., April 20, 1-3 p.m. and Sun., May 11, 1-3 p.m.",Allegheny City Brewing Taproom,"510 E Ohio St, Pittsburgh
North Side",Acoustic,"Come pick, come drink, come listen! This is a traditional bluegrass jam circle and all levels of stringed instrument players are welcome to join! Regardless of how long you've played, we encourage you to pick. You can always pass on solos and you never have to call a tune ... we're a judgement-free group of players! (412) 904-3732"
Quintessential Chatham Baroque,https://www.pghcitypaper.com/pittsburgh/quintessential-chatham-baroque/Event?oid=26093620,"Sun., March 16, 2:30-6:30 p.m.",Levy Hall at Rodef Shalom,"4905 Fifth Ave., Pittsburgh
Oakland",Classical,"Quintessential Chatham Baroque Friday-Sunday, March 14-16, 2025 -Friday, March 14, 2025, 7:30 p.m., Teutonia Männerchor -Saturday, March 15, 2025, 7:30 p.m., Hicks Memorial Chapel at Pittsburgh Theological Seminary -Sunday, March 16, 2025, 2:30 p.m., Levy Hall Since its founding, Chatham Baroque cut its teeth on the vast repertoire for two violins and continuo, developing its own distinctive sound. This program returns to their musical roots, with former ensemble member Julie Andrijeski (1996-2008) joining Andrew Fouts to share the melodic spotlight over the elegant continuo stylings of Patricia Halverson (viola da gamba), and Scott Pauley (theorbo & baroque guitar). (412) 687-1788"
,,,,,,
Tribute to the 70s Horn Bands,https://www.pghcitypaper.com/pittsburgh/tribute-to-the-70s-horn-bands/Event?oid=27506578,"Sun., March 16, 3-5 p.m.","Power Center Ballroom, Duquesne University","Forbes Ave. at Chatham Sq., Pittsburgh
Downtown",Jazz,"Featuring Duquesne University Jazz Ensemble and Vocal Jazz Ensemble Mike Tomaro and Kelley Krepin DeFade, directors Performing Mike Tomaro's arrangements of the music of: Chicago Blood, Sweat, & Tears Tower of Power Earth, Wind, & Fire With MPSOM alumni and other special guests 4123966083"
"Goddesses and Waterfalls for Flute, Harp, Bassoon and Percussion with the Pittsburgh Symphony Orchestra's Harpist Gretchen Van Hoesen and Yevgeny Faniuk, Jeremy Branson, and George Sakakeeny",https://www.pghcitypaper.com/pittsburgh/goddesses-and-waterfalls-for-flute-harp-bassoon-and-percussion-with-the-pittsburgh-symphony-orchestras-harpist-gretchen-van-hoesen-and-yevg/Event?oid=27519250,"Sun., March 16, 4-6 p.m.",Calvary United Methodist Church,"Allegheny & Beech Avenues, Pittsburgh
North Side",Classical,"Allegheny Historic Preservation Society's Tiffany Concert Series presents Pittsburgh Symphony Orchestra's Harpist, Gretchen Van Hoesen, with musicians Yevgeny Faniuk, Jeremy Branson, and George Sakakeeny. Concert will be held at Calvary United Methodist Church on 971 Beech Avenue, Pittsburgh 15233. 4122312007"
